title,author,link
IMPLEMENTASI METODE WEBQUAL DAN CUSTOMER SATISFACTION INDEX UNTUK MENGEVALUASI WEBSITE PERGURUAN TINGGI NEGERI DI BANDAR LAMPUNG,"Tristiyanto Tristiyanto,Deviana Saputri,Muhammad Iqbal",http://klik.ulm.ac.id/index.php/klik/article/view/303
RANCANG BANGUN APLIKASI KARTU MENUJU SEHAT (e-KMS) PADA PLATFORM ANDROID,"Kurnia Muludi,Noni Kurniasih,Aristoteles Aristoteles,Muhammad Iqbal",http://klik.ulm.ac.id/index.php/klik/article/view/304
SISTEM FUZZY INFERENSI UNTUK CUSTOMISE FAN PADA SISTEM  RUMAH CERDAS,"Andi Farmadi,Dwi Kartini Kartini,Muliadi Muliadi",http://klik.ulm.ac.id/index.php/klik/article/view/306
OBJECT COUNTING PADA DATA VIDEO,"Rudy Herteno,M. Reza Faisal,Radityo A Nugroho,Friska Abadi,Rahmat Ramadhani",http://klik.ulm.ac.id/index.php/klik/article/view/307
OPTIMALISASI PENERIMAAN REMUNERASI DOSEN MENGGUNAKAN METODE RULE BASE REASONING,Samsudin Samsudin,http://klik.ulm.ac.id/index.php/klik/article/view/185
KLASIFIKASI NAÏVE BAYES UNTUK MENDIAGNOSIS PENYAKIT PNEUMONIA PADA ANAK BALITA (STUDI KASUS : UPTD PUSKESMAS SUKARAJA SUKABUMI),"Ami Rahmawati,Dede Wintana,Satia Suhada,Gunawan Gunawan,Hamdun Sulaiman",http://klik.ulm.ac.id/index.php/klik/article/view/202
"KLASIFIKASI PENENTUAN PENERIMA MANFAAT PROGRAM KELUARGA HARAPAN (PKH) MENGGUNAKAN ALGORITMA C5.0  (Studi kasus: Desa Sukamaju, Kec.Kadudampit)","Dede Wintana,Hikmatulloh Hikmatulloh,Nurul Ichsan,Jajang Jaya Purnama,Ami Rahmawati",http://klik.ulm.ac.id/index.php/klik/article/view/206
ANALISIS ALGORITMA BACKPROPAGATION DALAM MEMPREDIKSI TINGKAT KEBERHASILAN PELATIH SEPAKBOLA SEBAGAI SALAH SATU KEMAJUAN OLAHRAGA DI INDONESIA,Muhammad Ridwan Lubis,http://klik.ulm.ac.id/index.php/klik/article/view/248
PEMODELAN ENTERPRISE RESOURCE PLANNING MENGGUNAKAN ODOO PADA Z-TECH KOMPUTER,"Fitri Purwaningtias,Chairul Mukmin",http://klik.ulm.ac.id/index.php/klik/article/view/259
"ANALISIS KINERJA REDISTRIBUSI ROUTING PROTOKOL DINAMIK (Studi Kasus : RIP, EIGRP, IS-IS)","Chairul Mukmin,Edi Surya Negara",http://klik.ulm.ac.id/index.php/klik/article/view/262
IMPLEMENTASI DECISION TREE C4.5 DALAM PENENTUAN PINJAMAN UANG DI KOPERASI XYZ di BANJARMASIN,"Lia Farokhah,Rina Dewi Indahsari",http://klik.ulm.ac.id/index.php/klik/article/view/268
APLIKASI MODUL DIGITAL BERBASIS WEB RESPONSIVE PADA STIK BINA HUSADA,"Tri Risqi Ariantoro,Arief Pamuji,Imam Solikin",http://klik.ulm.ac.id/index.php/klik/article/view/270
INTEGRASI SMART ATTENDANCE BAGI DOSEN SEBAGAI UPAYA PENINGKATAN KINERJA,"Irman Effendy,Ahmad Mutatkin Bakti",http://klik.ulm.ac.id/index.php/klik/article/view/271
PENERAPAN ALGORITMA ITERATIVE DICHOTOMISER THREE (ID3) DALAM MENDIAGNOSA KESEHATAN KEHAMILAN,"Hikmatulloh Hikmatulloh,Ami Rahmawati,Dede Wintana,Diah Ayu Ambarsari",http://klik.ulm.ac.id/index.php/klik/article/view/189
ANALISA ALGORITMA K-MEANS CLUSTERING PEMETAAN JUMLAH TINDAK PIDANA,Jajang jaya Purnama,http://klik.ulm.ac.id/index.php/klik/article/view/208
IMPLEMENTASI FORMULA HAVERSINE DAN KOMUNIKASI DATA REAL-TIME MENGGUNAKAN WEBSOCKET DI SISTEM PENGAWASAN WARGA NEGARA ASING,Alam Rahmatulloh,http://klik.ulm.ac.id/index.php/klik/article/view/210
PENERAPAN DATA MINING DENGAN ALGORITMA C4.5 UNTUK KALKULASI DATA DALAM AL-QUR’AN TERJEMAHAN,Asmira Mira Rusli,http://klik.ulm.ac.id/index.php/klik/article/view/214
PENDETEKSIAN MADZHAB MENGGUNAKAN TEKNIK TEXT MINING DENGAN ALGORITMA C4.5 BERBASIS WEB,Sri Rahayu Razali,http://klik.ulm.ac.id/index.php/klik/article/view/215
APLIKASI CUTI DOSEN BERBASIS ANDROID PADA STEBIS ISLAM DARUSSALAM,"Imam Solikin,M. Soekarno Putra",http://klik.ulm.ac.id/index.php/klik/article/view/223
